vessel,service,ata,atb,ats,liner,berth window,berth,berth status
UASC AL KHOR NA 843R,NWC1,01/11/18 01:00,01/11/18 04:40,01/11/18 23:10,HLC,01/11/2018 07:00,1,IN
MSC SARA ELENA FI 842R,IPANE-ASAS,31/10/18 22:00,01/11/18 16:33,02/11/18 23:25,MSC,01/11/2018 13:00,3,IN
MSC ARICA NA 840A,NWC1,01/11/18 20:00,01/11/18 21:48,03/11/18 01:10,MSC,30/10/2018 19:00,2,OUT
MSC ORIANE UA 843R,USA-STRING,02/11/18 12:00,02/11/18 13:38,03/11/18 15:03,MSC,02/11/2018 19:00,1,IN
CMA CGM RIO GRANDE 0NS1JS1MA,NEO BOSSA,02/11/18 16:20,03/11/18 06:00,04/11/18 13:22,CMA,03/11/2018 01:00,2,IN
STELLAR WILLEMSTADT 054N,VITORIA,02/11/18 23:30,03/11/18 11:54,04/11/18 18:25,MSC,03/11/2018 19:00,3,IN
MAERSK LAMANAI 1812,NEO BOSSA,03/11/18 00:30,03/11/18 20:00,04/11/18 17:45,MAE,04/11/2018 01:00,1,IN
CSAV TRAIGUEN MM 843R,WMED,05/11/18 02:00,05/11/18 15:35,07/11/18 00:10,HLC,06/11/2018 01:00,2,IN
UASC ZAMZAM NA 841A,NWC1,06/11/18 22:00,06/11/18 23:10,07/11/18 15:15,HLC,06/11/2018 19:00,1,OUT
MSC VITA MM 841A,WMED,07/11/18 00:45,07/11/18 10:06,07/11/18 23:40,MSC,07/11/2018 07:00,3,IN
FERNÃO DE MAGALHÃES 054S,ALCT2,07/11/18 07:15,07/11/18 12:19,08/11/18 01:25,ALI,07/11/2018 19:00,2,IN
MSC MARIANNA UA 841A,USA-STRING,06/11/18 18:20,07/11/18 21:30,08/11/18 10:16,MSC,05/11/2018 07:00,1,OUT
MSC PALAK NA 844R,NWC1,08/11/18 01:00,08/11/18 04:14,08/11/18 19:45,MSC,08/11/2018 07:00,3,IN
MSC ALABAMA XA 845A,EXTRA CALL,08/11/18 02:00,08/11/18 04:42,08/11/18 18:40,MSC,EXTRA CALL,2,OUT
MSC ELMA FI 843R,IPANE-ASAS,07/11/18 09:12,08/11/18 15:40,09/11/18 15:05,MSC,08/11/2018 13:00,1,IN
MSC MARGARITA UA 844R,USA-STRING,09/11/18 03:00,09/11/18 04:38,10/11/18 01:05,MSC,09/11/2018 19:00,3,IN
MAERSK LABREA 1815,NEO BOSSA,09/11/18 14:15,09/11/18 19:40,10/11/18 11:53,MAE,10/11/2018 01:00,2,IN
MAERSK LOTA 1812,NEO BOSSA,10/11/18 09:00,10/11/18 10:46,11/11/18 08:45,MAE,11/11/2018 01:00,1,IN
STELLAR WILLEMSTADT 055N,VITORIA,10/11/18 15:30,10/11/18 16:55,11/11/18 19:05,MSC,10/11/2018 19:00,3,IN
MAERSK LETICIA 839W,IPANE-ASAS,10/11/18 22:00,11/11/18 00:27,12/11/18 01:09,MAE,11/11/2018 01:00,2,IN
MSC AJACCIO MM 844R,WMED,11/11/18 14:00,11/11/18 17:30,12/11/18 19:40,MSC,13/11/2018 01:00,1,IN
MSC FIAMMETTA UA 842A,USA-STRING,12/11/18 06:30,12/11/18 08:50,13/11/18 02:41,MSC,12/11/2018 07:00,2,IN
MSC LILY NA 842A,NWC1,13/11/18 01:20,13/11/18 07:30,13/11/18 21:37,MSC,13/11/2018 19:00,1,IN
MSC MELINE MM 842A,WMED,13/11/18 15:00,13/11/18 16:38,14/11/18 18:12,MSC,14/11/2018 07:00,2,IN
VICENTE PINZON 042S,ALCT2,14/11/18 17:00,14/11/18 21:25,15/11/18 07:40,ALI,14/11/2018 19:00,3,IN
MAERSK LA PAZ 838E,IPANE-ASAS,14/11/18 10:00,14/11/18 11:40,15/11/18 16:15,MAE,15/11/2018 13:00,1,IN
MSC ARICA NA 845R,NWC1,15/11/18 23:00,16/11/18 00:58,16/11/18 18:45,MSC,15/11/2018 07:00,2,OUT
